Project Name,Package Name,Type Name,Method Name,Code Smell
main,flight.reservation.flight,Schedule,scheduleFlight,Long Statement
main,flight.reservation.flight,Schedule,removeFlight,Complex Conditional
main,flight.reservation.flight,Schedule,removeFlight,Long Statement
main,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Long Parameter List
main,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Long Parameter List
main,flight.reservation.payment,CreditCard,CreditCard,Magic Number
main,flight.reservation.plane,AircraftFactory,createAircraft,Missing default
main,flight.reservation.plane,Helicopter,Helicopter,Magic Number
main,flight.reservation.plane,Helicopter,Helicopter,Magic Number
main,flight.reservation.plane,Helicopter,getCrewCapacity,Magic Number
main,flight.reservation.plane,PassengerDrone,getPassengerCapacity,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Missing default
