Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
main,flight.reservation,Airport,Airport,6,1,3
main,flight.reservation,Airport,Airport,6,1,4
main,flight.reservation,Airport,getName,3,1,0
main,flight.reservation,Airport,getCode,3,1,0
main,flight.reservation,Airport,getLocation,3,1,0
main,flight.reservation,Airport,getFlights,3,1,0
main,flight.reservation,Airport,setFlights,3,1,1
main,flight.reservation,Airport,getAllowedAircrafts,3,1,0
main,flight.reservation,Customer,Customer,5,1,2
main,flight.reservation,Customer,createOrder,13,2,3
main,flight.reservation,Customer,isOrderValid,16,1,2
main,flight.reservation,Customer,getEmail,3,1,0
main,flight.reservation,Customer,setEmail,3,1,1
main,flight.reservation,Customer,getName,3,1,0
main,flight.reservation,Customer,setName,3,1,1
main,flight.reservation,Customer,getOrders,3,1,0
main,flight.reservation,Customer,setOrders,3,1,1
main,flight.reservation,Passenger,Passenger,3,1,1
main,flight.reservation,Passenger,getName,3,1,0
main,flight.reservation.flight,Flight,Flight,7,1,4
main,flight.reservation.flight,Flight,checkValidity,5,2,0
main,flight.reservation.flight,Flight,isAircraftValid,19,4,1
main,flight.reservation.flight,Flight,getAircraft,3,1,0
main,flight.reservation.flight,Flight,getNumber,3,1,0
main,flight.reservation.flight,Flight,getDeparture,3,1,0
main,flight.reservation.flight,Flight,getArrival,3,1,0
main,flight.reservation.flight,Flight,toString,3,1,0
main,flight.reservation.flight,Schedule,Schedule,3,1,0
main,flight.reservation.flight,Schedule,getScheduledFlights,3,1,0
main,flight.reservation.flight,Schedule,scheduleFlight,4,1,2
main,flight.reservation.flight,Schedule,removeFlight,9,3,1
main,flight.reservation.flight,Schedule,removeScheduledFlight,3,1,1
main,flight.reservation.flight,Schedule,searchScheduledFlight,3,1,1
main,flight.reservation.flight,Schedule,clear,3,1,0
main,flight.reservation.flight,ScheduledFlight,ScheduledFlight,5,1,5
main,flight.reservation.flight,ScheduledFlight,ScheduledFlight,6,1,6
main,flight.reservation.flight,ScheduledFlight,getCrewMemberCapacity,12,4,0
main,flight.reservation.flight,ScheduledFlight,addPassengers,3,1,1
main,flight.reservation.flight,ScheduledFlight,removePassengers,3,1,1
main,flight.reservation.flight,ScheduledFlight,getCapacity,12,4,0
main,flight.reservation.flight,ScheduledFlight,getAvailableCapacity,3,1,0
main,flight.reservation.flight,ScheduledFlight,getDepartureTime,3,1,0
main,flight.reservation.flight,ScheduledFlight,getPassengers,3,1,0
main,flight.reservation.flight,ScheduledFlight,getCurrentPrice,3,1,0
main,flight.reservation.flight,ScheduledFlight,setCurrentPrice,3,1,1
main,flight.reservation.order,FlightOrder,FlightOrder,3,1,1
main,flight.reservation.order,FlightOrder,getNoFlyList,3,1,0
main,flight.reservation.order,FlightOrder,getScheduledFlights,3,1,0
main,flight.reservation.order,FlightOrder,isOrderValid,16,1,3
main,flight.reservation.order,FlightOrder,processOrderWithCreditCardDetail,4,1,3
main,flight.reservation.order,FlightOrder,processOrderWithCreditCard,13,4,1
main,flight.reservation.order,FlightOrder,cardIsPresentAndValid,3,1,1
main,flight.reservation.order,FlightOrder,processOrderWithPayPal,13,4,2
main,flight.reservation.order,FlightOrder,payWithCreditCard,15,3,2
main,flight.reservation.order,FlightOrder,payWithPayPal,9,2,3
main,flight.reservation.order,Order,Order,3,1,0
main,flight.reservation.order,Order,getId,3,1,0
main,flight.reservation.order,Order,getPrice,3,1,0
main,flight.reservation.order,Order,setPrice,3,1,1
main,flight.reservation.order,Order,getCustomer,3,1,0
main,flight.reservation.order,Order,setCustomer,3,1,1
main,flight.reservation.order,Order,getPassengers,3,1,0
main,flight.reservation.order,Order,setPassengers,3,1,1
main,flight.reservation.order,Order,isClosed,3,1,0
main,flight.reservation.order,Order,setClosed,3,1,0
main,flight.reservation.payment,CreditCard,CreditCard,7,1,3
main,flight.reservation.payment,CreditCard,setAmount,3,1,1
main,flight.reservation.payment,CreditCard,getAmount,3,1,0
main,flight.reservation.payment,CreditCard,isValid,3,1,0
main,flight.reservation.payment,CreditCard,setValid,3,1,0
main,flight.reservation.plane,Helicopter,Helicopter,12,3,1
main,flight.reservation.plane,Helicopter,getModel,3,1,0
main,flight.reservation.plane,Helicopter,getPassengerCapacity,3,1,0
main,flight.reservation.plane,PassengerDrone,PassengerDrone,8,2,1
main,flight.reservation.plane,PassengerPlane,PassengerPlane,23,5,1
main,(default package),Runner,main,2,1,1
